Graph: n25-3 | Drawing: A | Stress: 0.4 | Size: 25 | Path: 3 -> 14 (Length: 2)
Graph: n25-3 | Drawing: B | Stress: 0.4 | Size: 25 | Path: 3 -> 14 (Length: 2)
Graph: n25-3 | Drawing: C | Stress: 0.4 | Size: 25 | Path: 3 -> 14 (Length: 2)
Graph: n25-3 | Drawing: A | Stress: 0.45 | Size: 25 | Path: 23 -> 24 (Length: 3)
Graph: n25-3 | Drawing: B | Stress: 0.45 | Size: 25 | Path: 23 -> 24 (Length: 3)
Graph: n25-3 | Drawing: C | Stress: 0.45 | Size: 25 | Path: 23 -> 24 (Length: 3)
Graph: n25-3 | Drawing: A | Stress: 0.5 | Size: 25 | Path: 3 -> 16 (Length: 4)
Graph: n25-3 | Drawing: B | Stress: 0.5 | Size: 25 | Path: 3 -> 16 (Length: 4)
Graph: n25-3 | Drawing: C | Stress: 0.5 | Size: 25 | Path: 3 -> 16 (Length: 4)
Graph: n25-3 | Drawing: A | Stress: 0.55 | Size: 25 | Path: 3 -> 8 (Length: 5)
Graph: n25-3 | Drawing: B | Stress: 0.55 | Size: 25 | Path: 3 -> 8 (Length: 5)
Graph: n25-3 | Drawing: C | Stress: 0.55 | Size: 25 | Path: 3 -> 8 (Length: 5)
Graph: n25-3 | Drawing: A | Stress: 0.6 | Size: 25 | Path: 7 -> 23 (Length: 2)
Graph: n25-3 | Drawing: B | Stress: 0.6 | Size: 25 | Path: 7 -> 23 (Length: 2)
Graph: n25-3 | Drawing: C | Stress: 0.6 | Size: 25 | Path: 7 -> 23 (Length: 2)
Graph: n25-3 | Drawing: A | Stress: 0.65 | Size: 25 | Path: 2 -> 16 (Length: 3)
Graph: n25-3 | Drawing: B | Stress: 0.65 | Size: 25 | Path: 2 -> 16 (Length: 3)
Graph: n25-3 | Drawing: C | Stress: 0.65 | Size: 25 | Path: 2 -> 16 (Length: 3)
Graph: n25-3 | Drawing: A | Stress: 0.7 | Size: 25 | Path: 19 -> 24 (Length: 4)
Graph: n25-3 | Drawing: B | Stress: 0.7 | Size: 25 | Path: 19 -> 24 (Length: 4)
Graph: n25-3 | Drawing: C | Stress: 0.7 | Size: 25 | Path: 19 -> 24 (Length: 4)
Graph: n25-3 | Drawing: A | Stress: 0.75 | Size: 25 | Path: 1 -> 12 (Length: 5)
Graph: n25-3 | Drawing: B | Stress: 0.75 | Size: 25 | Path: 1 -> 12 (Length: 5)
Graph: n25-3 | Drawing: C | Stress: 0.75 | Size: 25 | Path: 1 -> 12 (Length: 5)
Graph: n25-3 | Drawing: A | Stress: 0.8 | Size: 25 | Path: 0 -> 5 (Length: 2)
Graph: n25-3 | Drawing: B | Stress: 0.8 | Size: 25 | Path: 0 -> 5 (Length: 2)
Graph: n25-3 | Drawing: C | Stress: 0.8 | Size: 25 | Path: 0 -> 5 (Length: 2)
