participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash,parameters_indices
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","prolific","0","prolificId","completed","undefined","undefined","100.00","undefined","undefined","Please enter your Prolific ID","67486ef5b88595ed8d20fe7c","undefined","undefined","undefined","2025-05-22T04:52:06.578Z","2025-05-22T04:53:18.300Z","71722","57559","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","introduction","1","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-22T04:53:18.455Z","2025-05-22T04:56:14.491Z","176036","176036","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","consent","2","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-22T04:56:14.677Z","2025-05-22T04:56:19.603Z","4926","4926","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","training","3","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-22T04:56:19.749Z","2025-05-22T04:56:27.098Z","7349","7349","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","training_prep","4","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-22T04:56:27.238Z","2025-05-22T04:58:32.172Z","124934","124934","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","train2","5","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","5","undefined","undefined","2025-05-22T04:58:32.333Z","2025-05-22T04:59:10.338Z","38005","38005","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,1,training"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","train1","6","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","2","undefined","undefined","2025-05-22T04:59:10.502Z","2025-05-22T04:59:42.083Z","31581","31581","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,0,training"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","train3","7","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","2","undefined","undefined","2025-05-22T04:59:42.234Z","2025-05-22T05:00:38.646Z","56412","56412","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,2,training"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","train4","8","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","2","undefined","undefined","2025-05-22T05:00:38.799Z","2025-05-22T05:01:00.869Z","22070","22070","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,3,training"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","train6","9","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","4","undefined","undefined","2025-05-22T05:01:01.027Z","2025-05-22T05:02:05.405Z","64378","64378","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,5,training"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","train5","10","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","5","undefined","undefined","2025-05-22T05:02:05.564Z","2025-05-22T05:02:24.853Z","19289","19289","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,4,training"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","break","11","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-22T05:02:24.990Z","2025-05-22T05:03:03.316Z","38326","38326","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_fake_25_1","12","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","5","undefined","undefined","undefined","2025-05-22T05:03:03.451Z","2025-05-22T05:03:18.324Z","14873","14873","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,25,1"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_fake_25_2","13","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:03:18.468Z","2025-05-22T05:03:58.324Z","39856","39856","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,25,2"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_8","14","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:03:58.470Z","2025-05-22T05:04:22.100Z","23630","23630","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,8"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_5","15","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:04:22.250Z","2025-05-22T05:05:27.788Z","65538","65538","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,5"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_2","16","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","I am unable to work this out","undefined","undefined","undefined","2025-05-22T05:05:27.944Z","2025-05-22T05:05:42.044Z","14100","14100","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,2"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_4","17","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","I am unable to work this out","undefined","undefined","undefined","2025-05-22T05:05:42.197Z","2025-05-22T05:07:05.572Z","83375","83375","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,4"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_1","18","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","undefined","undefined","undefined","2025-05-22T05:07:05.726Z","2025-05-22T05:07:27.932Z","22206","22206","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,1"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_6","19","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","5","undefined","undefined","undefined","2025-05-22T05:07:28.089Z","2025-05-22T05:08:22.044Z","53955","53955","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,6"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_7","20","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:08:22.196Z","2025-05-22T05:09:03.788Z","41592","41592","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,7"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_3","21","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","I am unable to work this out","undefined","undefined","undefined","2025-05-22T05:09:03.940Z","2025-05-22T05:10:58.220Z","114280","114280","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,3"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_25_0","22","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:10:58.393Z","2025-05-22T05:13:53.075Z","174682","166834","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,25,0"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","break","23","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-22T05:13:53.234Z","2025-05-22T05:27:03.538Z","790304","143474","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_fake_10_1","24","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:27:03.691Z","2025-05-22T05:27:11.826Z","8135","8135","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,10,1"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_fake_10_2","25","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:27:11.985Z","2025-05-22T05:27:19.097Z","7112","7112","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,10,2"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_8","26","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","undefined","undefined","undefined","2025-05-22T05:27:19.262Z","2025-05-22T05:27:45.841Z","26579","26579","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,8"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_2","27","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:27:46.027Z","2025-05-22T05:28:13.009Z","26982","10537","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,2"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_0","28","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:28:13.157Z","2025-05-22T05:28:17.483Z","4326","4326","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,0"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_1","29","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","undefined","undefined","undefined","2025-05-22T05:28:17.626Z","2025-05-22T05:28:28.909Z","11283","11283","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,1"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_3","30","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:28:29.053Z","2025-05-22T05:28:33.496Z","4443","4443","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,3"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_4","31","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","undefined","undefined","undefined","2025-05-22T05:28:33.637Z","2025-05-22T05:28:46.857Z","13220","13220","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,4"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_5","32","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:28:47.041Z","2025-05-22T05:28:50.312Z","3271","3271","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,5"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_6","33","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:28:50.459Z","2025-05-22T05:29:03.681Z","13222","13222","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,6"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_10_7","34","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:29:03.870Z","2025-05-22T05:29:11.360Z","7490","7490","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,10,7"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","break","35","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-22T05:29:11.506Z","2025-05-22T05:29:14.024Z","2518","2518","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_fake_50_1","36","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:29:14.148Z","2025-05-22T05:29:18.506Z","4358","4358","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,50,1"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_fake_50_2","37","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","I am unable to work this out","undefined","undefined","undefined","2025-05-22T05:29:18.646Z","2025-05-22T05:29:23.017Z","4371","4371","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,50,2"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_2","38","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","I am unable to work this out","undefined","undefined","undefined","2025-05-22T05:29:23.157Z","2025-05-22T05:29:26.861Z","3704","3704","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,2"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_1","39","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:29:26.999Z","2025-05-22T05:29:37.627Z","10628","10628","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,1"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_0","40","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-22T05:29:37.763Z","2025-05-22T05:29:47.017Z","9254","9254","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,0"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_3","41","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","I am unable to work this out","undefined","undefined","undefined","2025-05-22T05:29:47.202Z","2025-05-22T05:29:51.146Z","3944","3944","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,3"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_5","42","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:29:51.296Z","2025-05-22T05:30:05.268Z","13972","13972","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,5"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_6","43","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:30:05.448Z","2025-05-22T05:30:14.850Z","9402","9402","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,6"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_4","44","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","undefined","undefined","undefined","2025-05-22T05:30:14.997Z","2025-05-22T05:30:21.017Z","6020","6020","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,4"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_7","45","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","undefined","undefined","undefined","2025-05-22T05:30:21.161Z","2025-05-22T05:30:34.186Z","13025","13025","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,7"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","spl_8_50_8","46","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","undefined","undefined","undefined","2025-05-22T05:30:34.369Z","2025-05-22T05:30:50.573Z","16204","16204","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","8,50,8"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","demographics","47","strategy","completed","undefined","undefined","100.00","undefined","undefined","Please describe your overall strategy in answering.","I drew the lines out mentally","undefined","undefined","undefined","2025-05-22T05:30:50.735Z","2025-05-22T05:31:32.137Z","41402","41402","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","demographics","47","confidence","completed","undefined","undefined","100.00","undefined","undefined","How confident are you in your responses overall?","Somewhat confident","undefined","undefined","undefined","2025-05-22T05:30:50.735Z","2025-05-22T05:31:32.137Z","41402","41402","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","demographics","47","difficulty","completed","undefined","undefined","100.00","undefined","undefined","How difficult did you find this study?","Difficult","undefined","undefined","undefined","2025-05-22T05:30:50.735Z","2025-05-22T05:31:32.137Z","41402","41402","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","demographics","47","familiar","completed","undefined","undefined","100.00","undefined","undefined","How familiar are you with network diagrams?","Not very familiar","undefined","undefined","undefined","2025-05-22T05:30:50.735Z","2025-05-22T05:31:32.137Z","41402","41402","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","demographics","47","age","completed","undefined","undefined","100.00","undefined","undefined","What is your age group?","18-25","undefined","undefined","undefined","2025-05-22T05:30:50.735Z","2025-05-22T05:31:32.137Z","41402","41402","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"235c5751-485d-4bb8-81bc-e7ad9c7028dd","demographics","47","gender","completed","undefined","undefined","100.00","undefined","undefined","Please indicate your gender identity.","Male","undefined","undefined","undefined","2025-05-22T05:30:50.735Z","2025-05-22T05:31:32.137Z","41402","41402","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","prolific","0","prolificId","in progress","undefined","undefined","10.42","undefined","undefined","Please enter your Prolific ID","jacob-test","undefined","undefined","undefined","2025-05-21T09:23:06.832Z","2025-05-21T09:23:16.052Z","9220","9220","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","introduction","1","","in progress","undefined","undefined","10.42","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-21T09:23:16.212Z","2025-05-21T09:23:17.798Z","1586","1586","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","consent","2","","in progress","undefined","undefined","10.42","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-21T09:23:17.941Z","2025-05-21T09:23:18.937Z","996","996","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","training","3","","in progress","undefined","undefined","10.42","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-21T09:23:19.071Z","2025-05-21T09:23:20.901Z","1830","1830","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","training_prep","4","","in progress","undefined","undefined","10.42","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-21T09:23:21.009Z","2025-05-21T09:23:22.482Z","1473","1473","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","train1","5","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,0,training"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","train2","6","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,1,training"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","train4","7","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,3,training"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","train5","8","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,4,training"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","train6","9","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,5,training"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","train3","10","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","training,2,training"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","break","11","","in progress","undefined","undefined","10.42","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","undefined"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","spl_fake_50_1","12","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,50,1"
"5e7ab097-0e1a-4803-a166-d31d2e292e05","spl_fake_50_2","13","","in progress","undefined","undefined","10.42","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","undefined","undefined","undefined","undefined","undefined","1970-01-01T00:00:00.000Z","1969-12-31T23:59:59.999Z","undefined","undefined","0b51ab5873d6ba148a23924bdd9bfef6dfb79be16153c9e57e6931817c34ec3e","fake,50,2"
