participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash,parameters_indices
"051fc34e-6ed6-4683-9a02-626d43d14224","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"051fc34e-6ed6-4683-9a02-626d43d14224","prolific","0","prolificId","completed","undefined","undefined","100.00","undefined","undefined","Please enter your Prolific ID","57c357770e6a1f00015f6038","undefined","undefined","undefined","2025-05-18T12:27:42.099Z","2025-05-18T12:28:02.925Z","20826","7085","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","undefined"
"051fc34e-6ed6-4683-9a02-626d43d14224","introduction","1","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-18T12:28:03.047Z","2025-05-18T12:28:26.583Z","23536","23536","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","undefined"
"051fc34e-6ed6-4683-9a02-626d43d14224","consent","2","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-18T12:28:26.702Z","2025-05-18T12:29:10.178Z","43476","43476","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","undefined"
"051fc34e-6ed6-4683-9a02-626d43d14224","training","3","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-18T12:29:10.319Z","2025-05-18T12:29:50.811Z","40492","40492","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","undefined"
"051fc34e-6ed6-4683-9a02-626d43d14224","training_prep","4","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-18T12:29:50.955Z","2025-05-18T12:29:53.111Z","2156","2156","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","undefined"
"051fc34e-6ed6-4683-9a02-626d43d14224","train5","5","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","5","5","undefined","undefined","2025-05-18T12:29:53.206Z","2025-05-18T12:30:06.279Z","13073","13073","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","training,4,training"
"051fc34e-6ed6-4683-9a02-626d43d14224","train4","6","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","2","undefined","undefined","2025-05-18T12:30:06.404Z","2025-05-18T12:30:14.444Z","8040","8040","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","training,3,training"
"051fc34e-6ed6-4683-9a02-626d43d14224","train6","7","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","4","undefined","undefined","2025-05-18T12:30:14.548Z","2025-05-18T12:30:46.828Z","32280","32280","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","training,5,training"
"051fc34e-6ed6-4683-9a02-626d43d14224","train1","8","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","2","undefined","undefined","2025-05-18T12:30:46.965Z","2025-05-18T12:30:56.093Z","9128","9128","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","training,0,training"
"051fc34e-6ed6-4683-9a02-626d43d14224","train2","9","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","5","5","undefined","undefined","2025-05-18T12:30:56.198Z","2025-05-18T12:31:03.361Z","7163","7163","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","training,1,training"
"051fc34e-6ed6-4683-9a02-626d43d14224","train3","10","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","3","2","undefined","undefined","2025-05-18T12:31:03.467Z","2025-05-18T12:31:21.494Z","18027","18027","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","training,2,training"
"051fc34e-6ed6-4683-9a02-626d43d14224","break","11","","completed","undefined","undefined","100.00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2025-05-18T12:31:21.616Z","2025-05-18T12:31:26.059Z","4443","4443","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","undefined"
"051fc34e-6ed6-4683-9a02-626d43d14224","spl_fake_25_1","12","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","4","undefined","undefined","undefined","2025-05-18T12:31:26.134Z","2025-05-18T12:31:34.160Z","8026","8026","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","fake,25,1"
"051fc34e-6ed6-4683-9a02-626d43d14224","spl_fake_25_2","13","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-18T12:31:34.276Z","2025-05-18T12:31:51.760Z","17484","17484","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","fake,25,2"
"051fc34e-6ed6-4683-9a02-626d43d14224","spl_6_25_5","14","answer","completed","undefined","undefined","100.00","Shortest path stimulus","What is the length of the shortest path between the highlighted nodes?","What is the shortest path between the two highlighted nodes?","2","undefined","undefined","undefined","2025-05-18T12:31:51.858Z","2025-05-18T12:31:57.760Z","5902","5902","890888967a5786e833e627256a807f3b0d3dc46074cdb97390c1b42f4f3eb83f","6,25,5"
